,Star,Dist,star_mass,star_radius
0,Sun,0.000015813,1,1
1,Sirius,8.6,2.1,1.71
2,Canopus,310,15,71
3,Alpha0Centauri,4.4,1.1,1.2
4,Arcturus,37,1.1,26
5,Vega,25,2.2,2.7
6,Capella,43,2.6,12
7,Rigel,860,23,78.9
8,Procyon,11.4,1.5,1.9
9,Betelgeuse,640,20,950
10,Achernar,144,6.7,9.3
11,Hadar,390,10.5,8.6
12,Altair,17,1.8,1.8
13,Acrux,320,18,8.9
14,Aldebaran,65,1.5,44
15,Antares,600,12,680
16,Spica,260,11.43,7.47
17,Pollux,34,1.9,8.8
18,Fomalhaut,25,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,350,16,8.4
21,Regulus,77,3.8,3.1
22,Adhara,430,12.5,14
23,Shaula,700,14.5,8.8
24,Castor,52,2.8,2.4
25,Gacrux,88,1.5,84
26,Bellatrix,240,8.6,5.8
27,Elnath,130,5,4.2
28,Miaplacidus,110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma0Velorum,"1,100",9,6
31,Alnair,101,4,3.4
32,Alioth,81,2.9,4.2
33,Alnitak,1050,33,20
34,Dubhe,120,4.25,30
35,Mirfak,590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,270,5.7,26
38,Kaus0Australis,140,3.5,6.8
39,Avior,630,9,130
40,Alkaid,104,6.1,3.4
41,Menkalinan,81,2.39,2.77
42,Atria,390,7,92
43,Alhena,109,2.8,3.3
44,Peacock,180,5.9,4.8
45,Alsephina[2],80,2.4,2.9
46,Mirzam,500,13.5,10
47,Polaris,430,5.4,39
48,Alphard,180,3,50
49,Mintaka,1200,24,16.5
50,Scheat,196,2.1,95
51,Almaaz,653,15,140
52,Rasalgethi,360,2.8,280
53,Tau0Ceti,11.9,0.783,0.893
54,Delta0Pavonis,19.92,0.991,1.22
55,Ran,10.48,0.82,0.74
56,V3820Carinae,"8,900",20,485
57,Eta0Carinae,"7,500",100,881
58,Delta0Cephei,887,4.5,44.5
59,Mu0Cephei,"6,000",19.2,972
60,Titawin,44.25,1.27,1.48
61,Rho0Cassiopeiae,"8,154",22,981
62,P0Cygni,"5,545",30,76
63,La0Superba,"1,000",120,342
64,VV0Cephei,"4,900",18.2,"1,050"
65,610Cygni,11.41,0.7,0.665
66,R0Doradus,178,0.7,298
67,Polaris0Australis,281,1.59,3.74
68,R0Coronae0Borealis,"4,566",0.85,85
69,540Piscium,36.1,0.76,0.94
70,Mira,300,1.2,370
71,RW0Cephei,"14,000",13.9,"1,158"
72,Lacaille08760,12.87,0.6,0.51
73,V8380Monocerotis,"19,896",12,380
74,HD0140283,190,9,1.4
75,II0Pegasi,130,0.8,3.4
76,VY0Canis0Majoris,"3,900",17,"1,420"
77,Pistol0Star,"25,000",100,320
78,S0Doradus,"169,000",24,380
79,UY0Scuti,"5,100",10,755
80,Barnard's0Star,5.98,0.14,0.2
81,Luhman016,6.52,0.04,200
82,Proxima0Centauri,4.25,0.12,0.15
83,KIC08462852,"1,470",1.43,1.58
84,R136a1,"163,000",290,32
85,Melnick042,"163,000",189,21.1
86,WR0102,"18,134",19,0.39
87,VFTS0352,"164,000",57.48,14.47
88,YBP01194,"2,772",1.01,0.99
89,Gliese01214,47.5,0.16,0.21
90,NML0Cygni,"5,251",50,"1,640"
91,VB010,18.72,0.075,0.1
92,WOH0G64,"163,000",20,"1,730"
93,TRAPPIST 1,39.6,0.089,0.12
94,2MASS0J0523 1403,40.3,0.07,0.086
95,WISE00855−0714,7.27,0.003,0.33
96,Icarus,"14,400,000,000",33,0.224
97,0,SDSS0J000013.54+255418.6 [de],46.1,0.045820224
98,1,2MASS0J00040288 6410358,192,0.018137172
99,3,2MASS0J00242463 0158201,37.7,0.075412452
100,5,2MASS0J00274197+0503417,236,0.029592228
101,7,2MASSW0J0030300 145033,87.2,0.051547752
102,8,2MASS0J00332386 1521309 [de],131,0.027683052
103,9,2MASS0J00345157+0523050,31,0.040092696
104,10,2MASS00036+1821,28.6,0.040092696
105,11,2MASSW0J0045214+163445,57,0.021955524
106,12,WISEP0J004701.06+680352.1 [fr],40,0.011455056
107,13,2MASS0J00501994 3322402 [de],34,0.03818352
108,15,2MASS0J00584253 0651239 [de],96,0.027683052
109,17,2MASSI0J0103320+193536,70,0.049638576
110,18,SDSSp0J010752.33+004156.1 [de],51,0.049638576
111,19,2MASSI0J0117474 340325 [de],163,0.01909176
112,20,2MASS0J01415823 4633574 [de],130,0.01909176
113,21,SDSS0J015141.69+124429.6,70,0.044865636
114,25,SDSS0J020742.48+000056.2 [de],111,0.044865636
115,26,2MASS0J02103857 3015313,101,0.01431882
116,27,2MASS0J02340093 6442068,155,0.01909176
117,28,2MASS0J02411151 0326587 [de],152,0.025773876
118,29,2MASS0J02431371−2453298,35,0.031501404
119,30,LP0771 21,53,0.074457864
120,32,Teegarden's0star,12.578,0.07636704
121,33,2MASS0J02535980+3206373,184,0.06204822
122,34,WISE0J0254+0223,24,0.06204822
123,35,DEN00255 4700,16.2,0.07636704
124,36,2MASS0J03185403 3421292 [de],45,0.046774812
125,37,2MASS0J03205965+1854233,47,0.084003744
126,38,2MASS0J03231002 4631237,192,0.021955524
127,39,SDSS0J032553.17+042540.1,59,0.04295646
128,40,2MASS0J03264225 2102057 [de],80,0.017182584
129,41,2MASS0J03284265+2302051 [de],98,0.051547752
130,42,2MASS0J03341218 4953322,27,0.069684924
131,43,LP0944 20,20.9,0.069684924
132,44,2MASP0J0345432+254023,88,0.070639512
133,45,Teide01,380,0.05250234
134,46,2MASS0J03510004 0052452,48,0.097367976
135,47,2MASS0J03552337+1133437,29.8,0.01909176
136,49,2MASS0J04151954−0935066,18.6,0.02863764
137,51,2MASS0J04285096 2253227 [de],85,0.07636704
138,52,2MASS0J04351612 1606574,34,0.0954588
139,53,2MASS0J04362788 4114465,142,0.037228932
140,54,2MASS0J04390101 2353083 [de],29.5,0.045820224
141,56,2MASS0J04433764+0002040,82,0.021000936
142,57,2MASS0J04455387 3048204 [de],42,0.061093632
143,58,2MASS0J04510093 3402150 [de],69,0.00099277152
144,59,2MASS0J05002100+0330501 [de],44,0.061093632
145,60,2MASS0J05012406 0010452 [de],64,0.020046348
146,61,2MASS0J05160945 0445499 [de],73,0.044865636
147,62,2MASS0J0523−1403,40,0.064911984
148,64,SDSS0J053951.99 005902.0,41.62,0.058229868
149,66,LSR00602+3910 [de],34.6,0.026728464
150,67,2MASS0J06085283 2753583,102,0.036274344
151,70,2MASS0J06244595 4521548 [de],39,0.053456928
152,71,2MASS0J06411840 4322329 [de],65,0.063957396
153,72,DENIS P0J0652197 253450 [de],51,0.0715941
154,74,2MASS0J07075327 4900503,60,0.068730336
155,75,UGPS0J072227.51 054031.2,13.4,0.024819288
156,76,2MASSI0J0727182+171001 [de],29.6,0.039138108
157,77,2MASS0J07290002 3954043 [de],25.8,0.035319756
158,78,SDSS0J074201.41+205520.5 [de],49,0.041047284
159,80,DENIS P0J0751164 253043 [de],55,0.067775748
160,81,2MASS0J07522390+1612157,60,0.00191872188
161,82,DENIS0J081730.0 615520,16.1,0.042001872
162,85,2MASS0J08251968+2115521 [de],35,0.049638576
163,86,SDSSp0J083008.12+482847.4 [de],43,0.045820224
164,87,LHS02021,55,0.084003744
165,88,SDSS0J083048.80+012831.1 [de],77,0.043911048
166,89,2MASSI0J0835425 081923 [de],23.53,0.059184456
167,90,2MASSI0J0847287 153237 [de],43,0.061093632
168,91,2MASS0J08533619 0329321,27.6,0.073503276
169,92,2MASSI0J0859254 194926 [de],50,0.0477294
170,94,2MASSI0J0937347+293142,20,0.040092696
171,95,2MASS00939−2448,17.4,0.030546816
172,96,2MASS0J09490860 1545485 [de],59,0.046774812
173,97,2MASS0J10073369 4555147,46,0.042001872
174,98,2MASSI0J1010148 040649 [de],55,0.048683988
175,101,2MASS0J10224821+5825453 [de],60,0.025773876
176,102,2MASSW0J1036530 344138 [de],53,0.046774812
177,103,2MASS0J1047538+212423 [de],34.4,0.040092696
178,104,DEN01048 3956,13.15,0.073503276
179,105,Luhman016B,6.516,0.041047284
180,106,Luhman016A,6.516,0.03818352
181,107,DENIS P0J1058.7−1548,49,0.061093632
182,108,TWA028,180,0.034365168
183,109,Cha0110913 773444,163,0.007636704
184,111,SDSS0J111010.01+011613.1,63,0.008591292
185,112,2MASS0J11145133−2618235,18.2,0.031501404
186,113,TWA026,137,0.02863764
187,115,2MASS0J11544223 3400390 [de],129,0.035319756
188,116,2MASSW0J1155395 372735 [de],31,0.061093632
189,119,2MASS0J12074836 3900043,217,0.016227996
190,120,2MASSI0J1217110 031113 [de],36,0.040092696
191,123,2M01237+6526,45.6,0.039138108
192,125,TWA029,262,0.001909176
193,126,SDSSp0J125453.90 012247.4 [de],38,0.044865636
194,127,Kelu 1A,61,0.060139044
195,128,Kelu 1B,61,0.055366104
196,129,2MASS0J13204427+0409045,101,0.063957396
197,130,SDSSp0J132629.82 003831.5 [de],65,0.048683988
198,131,SDSSp0J134646.45 003150.4 [de],48,0.042001872
199,132,2MASS0J13595510 4034582,51,0.060139044
200,133,ULAS0J141623.94+134836.3,29.7,0.030546816
201,134,SDSS0J141659.78+500626.4 [de],149,0.056320692
202,135,DENIS P0J142527.97 365023.4 [de],38,0.020046348
